[2025-09-14 16:22:27,717] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
2025-09-14 16:22:29,069 
python train_vqvae.py --data_mode joint3d --load_data_file /data2/wxs/DATASETS/Human3.6M_for_MotionBERT/h36m_sh_conf_cam_source_final.pkl --num_frames 16 --sample_stride 1 --project_dir vqvae_experiment/h36m_j3d_f16s1_cb2048x1024 --not_find_unused_parameters --nb_code 2048 --codebook_dim 1024
2025-09-14 16:22:48,551 Data loaded with 97196 samples and 1559752 frames
2025-09-14 16:22:49,309 Number of trainable parameters: 29.446659 M
2025-09-14 16:22:49,309 Args: Namespace(data_root='./', num_frames=16, batch_size=32, max_epoch=1000000000.0, total_iter=500000, world_size=1, rank=0, save_interval=20000, warm_up_iter=5000, print_iter=200, learning_rate=0.0002, lr_schedule=[300000], gamma=0.05, weight_decay=0.0001, resume_pth='', device='cuda', project_config='', allow_tf32=False, project_dir='vqvae_experiment/h36m_j3d_f16s1_cb2048x1024', seed=6666, commit_ratio=0.5, nb_code=2048, codebook_dim=1024, load_data_file='/data2/wxs/DATASETS/Human3.6M_for_MotionBERT/h36m_sh_conf_cam_source_final.pkl', data_mode='joint3d', not_find_unused_parameters=True, sample_stride=1)
Trainning Epoch:   0%|          | 0/165 [00:00<?, ?it/s]2025-09-14 16:22:58,473 current_lr 0.000008 at iteration 200
2025-09-14 16:22:58,517 Stage: Warm Up | Epoch: 0 | Iter: 200 | Total Loss: 0.090995 | Recon Loss: 0.088571 | Commit Loss: 0.004848 | Perplexity: 599.385047
2025-09-14 16:23:06,765 current_lr 0.000016 at iteration 400
2025-09-14 16:23:06,808 Stage: Warm Up | Epoch: 0 | Iter: 400 | Total Loss: 0.050167 | Recon Loss: 0.043189 | Commit Loss: 0.013956 | Perplexity: 569.471104
2025-09-14 16:23:15,120 current_lr 0.000024 at iteration 600
2025-09-14 16:23:15,159 Stage: Warm Up | Epoch: 0 | Iter: 600 | Total Loss: 0.050073 | Recon Loss: 0.036661 | Commit Loss: 0.026823 | Perplexity: 579.082235
2025-09-14 16:23:23,577 current_lr 0.000032 at iteration 800
2025-09-14 16:23:23,620 Stage: Warm Up | Epoch: 0 | Iter: 800 | Total Loss: 0.049897 | Recon Loss: 0.032655 | Commit Loss: 0.034484 | Perplexity: 600.080230
2025-09-14 16:23:31,773 current_lr 0.000040 at iteration 1000
2025-09-14 16:23:31,812 Stage: Warm Up | Epoch: 0 | Iter: 1000 | Total Loss: 0.047020 | Recon Loss: 0.029241 | Commit Loss: 0.035556 | Perplexity: 607.917989
2025-09-14 16:23:40,106 current_lr 0.000048 at iteration 1200
2025-09-14 16:23:40,144 Stage: Warm Up | Epoch: 0 | Iter: 1200 | Total Loss: 0.043419 | Recon Loss: 0.027441 | Commit Loss: 0.031954 | Perplexity: 608.550429
2025-09-14 16:23:48,270 current_lr 0.000056 at iteration 1400
2025-09-14 16:23:48,309 Stage: Warm Up | Epoch: 0 | Iter: 1400 | Total Loss: 0.038030 | Recon Loss: 0.024296 | Commit Loss: 0.027467 | Perplexity: 608.826182
2025-09-14 16:23:56,598 current_lr 0.000064 at iteration 1600
2025-09-14 16:23:56,636 Stage: Warm Up | Epoch: 0 | Iter: 1600 | Total Loss: 0.033085 | Recon Loss: 0.021994 | Commit Loss: 0.022184 | Perplexity: 616.256845
2025-09-14 16:24:04,878 current_lr 0.000072 at iteration 1800
2025-09-14 16:24:04,917 Stage: Warm Up | Epoch: 0 | Iter: 1800 | Total Loss: 0.029844 | Recon Loss: 0.020962 | Commit Loss: 0.017763 | Perplexity: 619.012123
2025-09-14 16:24:12,973 current_lr 0.000080 at iteration 2000
2025-09-14 16:24:13,019 Stage: Warm Up | Epoch: 0 | Iter: 2000 | Total Loss: 0.026715 | Recon Loss: 0.019473 | Commit Loss: 0.014484 | Perplexity: 623.031805
2025-09-14 16:24:21,118 current_lr 0.000088 at iteration 2200
2025-09-14 16:24:21,158 Stage: Warm Up | Epoch: 0 | Iter: 2200 | Total Loss: 0.024848 | Recon Loss: 0.019010 | Commit Loss: 0.011677 | Perplexity: 632.151545
2025-09-14 16:24:29,505 current_lr 0.000096 at iteration 2400
2025-09-14 16:24:29,545 Stage: Warm Up | Epoch: 0 | Iter: 2400 | Total Loss: 0.022932 | Recon Loss: 0.017970 | Commit Loss: 0.009924 | Perplexity: 635.605656
2025-09-14 16:24:37,817 current_lr 0.000104 at iteration 2600
2025-09-14 16:24:37,857 Stage: Warm Up | Epoch: 0 | Iter: 2600 | Total Loss: 0.021771 | Recon Loss: 0.017651 | Commit Loss: 0.008240 | Perplexity: 636.768606
2025-09-14 16:24:46,025 current_lr 0.000112 at iteration 2800
2025-09-14 16:24:46,064 Stage: Warm Up | Epoch: 0 | Iter: 2800 | Total Loss: 0.019882 | Recon Loss: 0.016385 | Commit Loss: 0.006994 | Perplexity: 642.762363
2025-09-14 16:24:54,249 current_lr 0.000120 at iteration 3000
2025-09-14 16:24:54,288 Stage: Warm Up | Epoch: 0 | Iter: 3000 | Total Loss: 0.018749 | Recon Loss: 0.015837 | Commit Loss: 0.005824 | Perplexity: 636.515293
Trainning Epoch:   1%|          | 1/165 [02:06<5:46:17, 126.69s/it]2025-09-14 16:25:02,563 current_lr 0.000128 at iteration 3200
2025-09-14 16:25:02,603 Stage: Warm Up | Epoch: 1 | Iter: 3200 | Total Loss: 0.017637 | Recon Loss: 0.015169 | Commit Loss: 0.004936 | Perplexity: 634.771629
2025-09-14 16:25:10,750 current_lr 0.000136 at iteration 3400
2025-09-14 16:25:10,788 Stage: Warm Up | Epoch: 1 | Iter: 3400 | Total Loss: 0.016233 | Recon Loss: 0.014115 | Commit Loss: 0.004237 | Perplexity: 634.067954
2025-09-14 16:25:19,036 current_lr 0.000144 at iteration 3600
2025-09-14 16:25:19,074 Stage: Warm Up | Epoch: 1 | Iter: 3600 | Total Loss: 0.015765 | Recon Loss: 0.013932 | Commit Loss: 0.003666 | Perplexity: 627.328486
2025-09-14 16:25:27,210 current_lr 0.000152 at iteration 3800
2025-09-14 16:25:27,249 Stage: Warm Up | Epoch: 1 | Iter: 3800 | Total Loss: 0.015774 | Recon Loss: 0.014234 | Commit Loss: 0.003081 | Perplexity: 616.544560
2025-09-14 16:25:35,390 current_lr 0.000160 at iteration 4000
2025-09-14 16:25:35,429 Stage: Warm Up | Epoch: 1 | Iter: 4000 | Total Loss: 0.015234 | Recon Loss: 0.013910 | Commit Loss: 0.002648 | Perplexity: 616.908589
2025-09-14 16:25:43,549 current_lr 0.000168 at iteration 4200
2025-09-14 16:25:43,593 Stage: Warm Up | Epoch: 1 | Iter: 4200 | Total Loss: 0.013470 | Recon Loss: 0.012257 | Commit Loss: 0.002426 | Perplexity: 624.585101
2025-09-14 16:25:51,789 current_lr 0.000176 at iteration 4400
